
> node-web@0.0.0 start /home/inigo/workspace/Web/web_fin_grado
> node ./bin/www

[ '1509222514', '30.75000000000000000000' ]
[ '1509222530', '30.75000000000000000000' ]
[ '1509222596', '30.50000000000000000000' ]
[ '1509222603', '30.50000000000000000000' ]
[ '1509222608', '30.50000000000000000000' ]
[ '1509222534', '30.75000000000000000000' ]
[ '1509222546', '30.50000000000000000000' ]
[ '1509222555', '30.50000000000000000000' ]
[ '1509222564', '30.50000000000000000000' ]
[ '1509222576', '30.50000000000000000000' ]
[ '1509222587', '30.50000000000000000000' ]
[ '1509222681', '30.25000000000000000000' ]
[ '1509222697', '30.25000000000000000000' ]
[ '1509222630', '30.50000000000000000000' ]
[ '1509222635', '30.50000000000000000000' ]
[ '1509222640', '30.50000000000000000000' ]
[ '1509222642', '30.50000000000000000000' ]
[ '1509222706', '30.25000000000000000000' ]
[ '1509222711', '30.25000000000000000000' ]
[ '1509222727', '30.25000000000000000000' ]
[ '1509222784', '30.25000000000000000000' ]
[ '1509222792', '30.25000000000000000000' ]
[ '1509222796', '30.25000000000000000000' ]
[ '1509222820', '30.00000000000000000000' ]
[ '1509222732', '30.25000000000000000000' ]
[ '1509222738', '30.25000000000000000000' ]
[ '1509222741', '30.25000000000000000000' ]
[ '1509222745', '30.25000000000000000000' ]
[ '1509222773', '30.25000000000000000000' ]
[ '1509222831', '30.00000000000000000000' ]
[ '1509222842', '30.00000000000000000000' ]
[ '1509222845', '30.00000000000000000000' ]
[ '1509222847', '30.00000000000000000000' ]
[ '1509222855', '30.00000000000000000000' ]
[ '1509222859', '30.00000000000000000000' ]
[ '1509222862', '30.00000000000000000000' ]
[ '1509222871', '30.00000000000000000000' ]
[ '1509222896', '30.00000000000000000000' ]
[ '1509223079', '30.50000000000000000000' ]
[ '1509222949', '29.75000000000000000000' ]
[ '1509222926', '30.00000000000000000000' ]
[ '1509222929', '30.00000000000000000000' ]
[ '1509223019', '30.25000000000000000000' ]
[ '1509223021', '30.25000000000000000000' ]
[ '1509222988', '30.00000000000000000000' ]
[ '1509223013', '30.00000000000000000000' ]
[ '1509222983', '30.00000000000000000000' ]
[ '1509223114', '30.50000000000000000000' ]
[ '1509223128', '30.50000000000000000000' ]
[ '1509223158', '30.50000000000000000000' ]
[ '1509223255', '30.25000000000000000000' ]
[ '1509223163', '30.50000000000000000000' ]
[ '1509223170', '30.50000000000000000000' ]
[ '1509223177', '30.50000000000000000000' ]
[ '1509223184', '30.50000000000000000000' ]
[ '1509223207', '30.50000000000000000000' ]
[ '1509223322', '30.25000000000000000000' ]
[ '1509223338', '30.00000000000000000000' ]
[ '1509223343', '30.00000000000000000000' ]
[ '1509223359', '30.00000000000000000000' ]
[ '1509223257', '30.25000000000000000000' ]
[ '1509223306', '30.25000000000000000000' ]
[ '1509223311', '30.25000000000000000000' ]
[ '1509223378', '30.00000000000000000000' ]
[ '1509223387', '30.00000000000000000000' ]
[ '1509223463', '29.75000000000000000000' ]
[ '1509223488', '29.75000000000000000000' ]
[ '1509223497', '29.75000000000000000000' ]
[ '1509223500', '29.75000000000000000000' ]
[ '1509223391', '30.00000000000000000000' ]
[ '1509223410', '30.00000000000000000000' ]
[ '1509223412', '30.00000000000000000000' ]
[ '1509223426', '30.00000000000000000000' ]
[ '1509223440', '30.00000000000000000000' ]
[ '1509223504', '29.75000000000000000000' ]
[ '1509223525', '29.75000000000000000000' ]
[ '1509223554', '29.50000000000000000000' ]
[ '1509223563', '29.50000000000000000000' ]
[ '1509223570', '29.50000000000000000000' ]
[ '1509223591', '29.50000000000000000000' ]
[ '1509223600', '29.50000000000000000000' ]
[ '1509223623', '29.50000000000000000000' ]
[ '1509223625', '29.50000000000000000000' ]
